year,month,title,lang,categories,is_translated,is_post,is_cheatsheet,is_interview,is_talk,is_handbook
2017,03,My first year as a developer,english,['english'],True,True,False,False,False,False
2019,01,The most common data science tools,english,['english'],True,True,False,False,False,False
2016,05,There is just too much information..,english,['english'],False,True,False,False,False,False
2016,10,Dev para leigos,pt-br,['pt-br'],True,True,False,False,False,False
2019,02,"Minha experiência com blogs, sites e meus textos",pt-br,['pt-br'],True,True,False,False,False,False
2020,05,What does it mean to test software?,english,"['english', 'handbook']",False,False,False,False,False,True
2019,01,SQLAlchemy Basics Tutorial,english,['english'],True,True,False,False,False,False
2016,03,The same old story: how can I start learning to code?,english,['english'],False,True,False,False,False,False
2019,03,Why should your company be in technology communities? ,english,['english'],True,True,False,False,False,False
2019,10,Que belo dia para a ciência!,pt-br,"['pt-br', 'talks']",False,False,False,False,True,False
2019,02,Outreachy Report V,english,['english'],False,True,False,False,False,False
2019,01,Adding relationship to tables already created on SQLAlchemy,english,['english'],False,True,False,False,False,False
2018,05,Meus 'truques' preferidos em Python - Parte I,pt-br,['pt-br'],False,True,False,False,False,False
2019,01,Pytest - My Cheat Sheet,english,"['english', 'cheatsheet']",False,False,True,False,False,False
2018,12,O que fazer quando faltam dados?,pt-br,['pt-br'],True,True,False,False,False,False
2018,09,My favorite testing tools on Django,english,['english'],False,True,False,False,False,False
2020,04,Minha saga aprendendo Scala - Parte 1,pt-br,['pt-br'],True,True,False,False,False,False
2016,11,Como revisar código alheio?,pt-br,['pt-br'],True,True,False,False,False,False
2020,02,Como é ser uma nova engenheira de software na Stripe,pt-br,['pt-br'],True,True,False,False,False,False
2020,04,My saga learning Scala - Part 2,english,['english'],True,True,False,False,False,False
2016,06,A tale of a kingdom far far away in another dimension,english,['english'],False,True,False,False,False,False
2020,06,"Classes, Objects and Traits in Scala",english,['english'],False,True,False,False,False,False
2018,11,Opinião: Nanodegree de Eng. de Machine Learning,pt-br,['pt-br'],True,True,False,False,False,False
2020,06,Como eu lido com minha síndrome de impostora,pt-br,['pt-br'],True,True,False,False,False,False
2020,04,From Oceanographer to self-taught developer working at Stripe,english,"['english', 'interview']",False,False,False,True,False,False
2020,04,SQL - My Cheat Sheet,english,"['english', 'cheatsheet']",False,False,True,False,False,False
2016,03,From oceanographer to programmer,english,['english'],True,True,False,False,False,False
2017,04,How to make simple endpoints with Django using Restless,english,['english'],False,True,False,False,False,False
2017,03,How to review someone else's code,english,['english'],True,True,False,False,False,False
2017,10,Um conto da montanha,pt-br,['pt-br'],False,True,False,False,False,False
2017,04,Mulheres ambiciosas,pt-br,['pt-br'],True,True,False,False,False,False
